id,Şehir,Tarih,Durum,Sıcaklık (°C)
103,Gaziantep,2024-11-20,Bölgesel düzensiz yağmur yağışlı,10.4
104,Gaziantep,2024-11-21,Bölgesel düzensiz yağmur yağışlı,11.3
105,Gaziantep,2024-11-22,Parçalı Bulutlu,11.6
106,Gaziantep,2024-11-23,Parçalı Bulutlu,12.6
107,Gaziantep,2024-11-24,Güneşli,13.1
108,Gaziantep,2024-11-25,Güneşli,13.4
109,Gaziantep,2024-11-26,Güneşli,13.4
110,Gaziantep,2024-11-27,Güneşli,13.0
111,Gaziantep,2024-11-28,Güneşli,12.8
112,Mersin,2024-11-15,Bölgesel düzensiz yağmur yağışlı,17.8
113,Mersin,2024-11-16,Bölgesel düzensiz yağmur yağışlı,17.8
114,Mersin,2024-11-17,Şiddetli yağmurlu,16.4
115,Mersin,2024-11-18,Orta kuvvetli yağmurlu,14.8
116,Mersin,2024-11-19,Güneşli,15.9
117,Mersin,2024-11-20,Bölgesel düzensiz yağmur yağışlı,15.9
118,Mersin,2024-11-21,Bölgesel düzensiz yağmur yağışlı,16.8
119,Mersin,2024-11-22,Bölgesel düzensiz yağmur yağışlı,16.8
120,Mersin,2024-11-23,Bölgesel düzensiz yağmur yağışlı,16.8
121,Mersin,2024-11-24,Güneşli,18.1
122,Mersin,2024-11-25,Güneşli,19.0
123,Mersin,2024-11-26,Güneşli,19.3
124,Mersin,2024-11-27,Güneşli,19.2
125,Mersin,2024-11-28,Parçalı Bulutlu,18.8
126,Kayseri,2024-11-15,Parçalı Bulutlu,10.1
127,Kayseri,2024-11-16,Bölgesel düzensiz yağmur yağışlı,8.8
128,Kayseri,2024-11-17,Bölgesel düzensiz yağmur yağışlı,8.9
129,Kayseri,2024-11-18,Orta kuvvetli yağmurlu,8.6
130,Kayseri,2024-11-19,Bölgesel düzensiz yağmur yağışlı,8.2
131,Kayseri,2024-11-20,Güneşli,6.5
132,Kayseri,2024-11-21,Güneşli,8.9
133,Kayseri,2024-11-22,Bölgesel düzensiz yağmur yağışlı,10.1
134,Kayseri,2024-11-23,Bölgesel düzensiz yağmur yağışlı,10.8
135,Kayseri,2024-11-24,Güneşli,8.1
136,Kayseri,2024-11-25,Güneşli,7.6
137,Kayseri,2024-11-26,Güneşli,7.8
138,Kayseri,2024-11-27,Parçalı Bulutlu,8.7
139,Kayseri,2024-11-28,Güneşli,9.3
140,Samsun,2024-11-15,Bölgesel düzensiz yağmur yağışlı,11.8
141,Samsun,2024-11-16,Orta kuvvetli yağmurlu,9.5
142,Samsun,2024-11-17,Güneşli,9.3
143,Samsun,2024-11-18,Bölgesel düzensiz yağmur yağışlı,11.7
144,Samsun,2024-11-19,Bölgesel düzensiz yağmur yağışlı,10.2
145,Samsun,2024-11-20,Güneşli,10.4
